code,locale,name,descr
097,pl,name-21153875,descr-21153875
103,fi,name-19104827,descr-19104827
103,nl,name-19104828,descr-19104828
104,pt,name-1186637,descr-1186637
104,sv,name-1186638,descr-1186638
105,nl,name-17890497,descr-17890497
105,sv,name-17890498,descr-17890498
106,es,name-27794106,descr-27794106
106,ro,name-27794107,descr-27794107
107,ms,name-23924217,descr-23924217
107,it,name-23924218,descr-23924218
108,da,name-9803527,descr-9803527
108,fi,name-9803528,descr-9803528
109,it,name-17548704,descr-17548704
109,fr,name-17548705,descr-17548705
110,zh,name-25815463,descr-25815463
110,it,name-25815464,descr-25815464
111,ar,name-17480725,descr-17480725
111,de,name-17480726,descr-17480726
