code,locale,name,descr
344,nl,name-10892242,descr-10892242
344,pt,name-10892243,descr-10892243
345,zh,name-2429131,descr-2429131
345,de,name-2429132,descr-2429132
346,de,name-4878534,descr-4878534
347,fi,name-12201865,descr-12201865
347,nl,name-12201866,descr-12201866
348,zh,name-21187265,descr-21187265
348,ar,name-21187266,descr-21187266
349,hu,name-10483892,descr-10483892
349,ms,name-10483893,descr-10483893
350,fr,name-25094418,descr-25094418
350,nl,name-25094419,descr-25094419
351,ms,name-3370761,descr-3370761
351,da,name-3370762,descr-3370762
352,ja,name-30514601,descr-30514601
352,es,name-30514602,descr-30514602
353,ko,name-12659961,descr-12659961
353,pt,name-12659962,descr-12659962
354,zh,name-15920223,descr-15920223
354,fi,name-15920224,descr-15920224
355,ja,name-12089155,descr-12089155
355,es,name-12089156,descr-12089156
356,ru,name-17965816,descr-17965816
356,fi,name-17965817,descr-17965817
357,zh,name-15504671,descr-15504671
357,tr,name-15504672,descr-15504672
358,ar,name-8564030,descr-8564030
358,es,name-8564031,descr-8564031
